2021-07-14 06:57:09,935 DEBUG MyArray - The string consists of Latin characters and / or numbers and does not contain duplicate characters
2021-07-14 08:19:53,932 DEBUG MyArray - The array consists of less than 3 elements, the product of 3 numbers cannot be counted.
2021-07-14 08:20:20,735 DEBUG MyArray - The array consists of less than 3 elements, the product of 3 numbers cannot be counted.
2021-07-14 08:20:40,940 DEBUG MyArray - The array consists of less than 3 elements, the product of 3 numbers cannot be counted.
2021-07-14 08:21:13,917 DEBUG MyArray - The array consists of less than 3 elements, the product of 3 numbers cannot be counted.
2021-07-14 08:27:58,224 DEBUG MyArray - The array consists of less than 3 elements, the product of 3 numbers cannot be counted.
2021-07-14 08:28:25,321 DEBUG MyArray - The array consists of less than 3 elements, the product of 3 numbers cannot be counted.
2021-07-14 08:29:50,172 DEBUG MyArray - The array consists of less than 3 elements, the product of 3 numbers cannot be counted.
2021-07-14 08:30:31,039 DEBUG MyArray - The array consists of less than 3 elements, the product of 3 numbers cannot be counted.
2021-07-14 08:30:51,368 DEBUG MyArray - The array consists of less than 3 elements, the product of 3 numbers cannot be counted.
2021-07-14 08:48:18,209 DEBUG MyArray - The array consists of less than 3 elements, the product of 3 numbers cannot be counted.
2021-07-19 16:42:33,344 DEBUG MyArray - The array consists of less than 3 elements, the product of 3 numbers cannot be counted.
2021-07-20 13:26:11,167 DEBUG MyArray - The array consists of less than 3 elements, the product of 3 numbers cannot be counted.
2021-07-20 13:26:49,877 DEBUG MyArray - The array consists of less than 3 elements, the product of 3 numbers cannot be counted.
2021-07-20 13:27:08,629 DEBUG MyArray - The array consists of less than 3 elements, the product of 3 numbers cannot be counted.
2021-07-20 13:27:37,841 DEBUG MyArray - The array consists of less than 3 elements, the product of 3 numbers cannot be counted.
2021-07-20 13:28:04,685 DEBUG MyArray - The array consists of less than 3 elements, the product of 3 numbers cannot be counted.
2021-07-20 13:28:36,984 DEBUG MyArray - The array consists of less than 3 elements, the product of 3 numbers cannot be counted.
2021-07-20 13:29:12,653 DEBUG MyArray - The array consists of less than 3 elements, the product of 3 numbers cannot be counted.
2021-07-20 13:29:35,593 DEBUG MyArray - The array consists of less than 3 elements, the product of 3 numbers cannot be counted.
2021-07-20 13:29:54,568 DEBUG MyArray - The array consists of less than 3 elements, the product of 3 numbers cannot be counted.
2021-07-20 13:30:13,494 DEBUG MyArray - The array consists of less than 3 elements, the product of 3 numbers cannot be counted.
2021-07-20 13:30:38,324 DEBUG MyArray - The array consists of less than 3 elements, the product of 3 numbers cannot be counted.
2021-07-20 14:57:00,965 DEBUG MyArray - The array consists of less than 3 elements, the product of 3 numbers cannot be counted.
2021-07-20 14:59:19,695 DEBUG MyArray - The array consists of less than 3 elements, the product of 3 numbers cannot be counted.
2021-07-20 16:22:38,474 DEBUG MyArray - The array consists of less than 3 elements, the product of 3 numbers cannot be counted.
2021-07-20 16:26:20,095 DEBUG MyArray - The array consists of less than 3 elements, the product of 3 numbers cannot be counted.
2021-07-20 16:32:05,452 DEBUG MyArray - The array consists of less than 3 elements, the product of 3 numbers cannot be counted.
